category_id,category_name,category_icon,category_subtitle,subsection,item_name,qty,price,spicy,note,callout,popular
breakfast,Breakfast,🍳,Served 8:30 AM – 11:00 Noon,,Aloo Paratha with Curd,2 Pc.,100,false,,, true
breakfast,Breakfast,🍳,Served 8:30 AM – 11:00 Noon,,Pyaaz Paratha,2 Pc.,100,false,,,false
breakfast,Breakfast,🍳,Served 8:30 AM – 11:00 Noon,,Gobhi Paratha,2 Pc.,100,false,,,false
breakfast,Breakfast,🍳,Served 8:30 AM – 11:00 Noon,,Aloo Pyaaz Paratha,2 Pc.,110,false,,,false
breakfast,Breakfast,🍳,Served 8:30 AM – 11:00 Noon,,Aloo Gobhi Paratha,2 Pc.,110,false,,,false
breakfast,Breakfast,🍳,Served 8:30 AM – 11:00 Noon,,Paneer Paratha,2 Pc.,130,false,,,true
breakfast,Breakfast,🍳,Served 8:30 AM – 11:00 Noon,,Puri Bhaji,4 Pc.,100,false,,,false
drinks,Drinks,☕,Hot & Cold,,Tea,,20,false,,,false
drinks,Drinks,☕,Hot & Cold,,Masala Tea,,30,false,,,true
drinks,Drinks,☕,Hot & Cold,,Dudh (Milk),,50,false,,,false
drinks,Drinks,☕,Hot & Cold,,Lemon Tea,,25,false,,,false
drinks,Drinks,☕,Hot & Cold,,Black Tea,,20,false,,,false
drinks,Drinks,☕,Hot & Cold,,Black Coffee,,20,false,,,false
drinks,Drinks,☕,Hot & Cold,,Coffee,,30,false,,,false
drinks,Drinks,☕,Hot & Cold,,Cold Coffee,,80,false,,,true
drinks,Drinks,☕,Hot & Cold,,Cold Coffee with Ice Cream,,100,false,,,false
drinks,Drinks,☕,Hot & Cold,,Plain Butter Milk (Chhachh),,20,false,,,false
drinks,Drinks,☕,Hot & Cold,,Masala Butter Milk (Chhachh),,30,false,,,false
drinks,Drinks,☕,Hot & Cold,,Sweet Lassi,,70,false,,,true
drinks,Drinks,☕,Hot & Cold,,Banana Shake,,100,false,,,false
drinks,Drinks,☕,Hot & Cold,,Chocolate Shake,,80,false,,,false
toast,Toast,🍞,,,Plain Toast,,50,false,,,false
toast,Toast,🍞,,,Bread Butter,,70,false,,,false
toast,Toast,🍞,,,Jam Bread,,70,false,,,false
toast,Toast,🍞,,,Butter Toast,,90,false,,,false
toast,Toast,🍞,,,Cheese Tomato Toast,,130,false,,,true
toast,Toast,🍞,,,Aloo Masala Toast,,100,false,,,false
toast,Toast,🍞,,,Paneer Masala Toast,,150,false,,,false
toast,Toast,🍞,,,Paneer Masala Cheese Toast,,170,false,,,false
sandwich,Sandwich,🥪,,,Vegetable Sandwich,,70,false,,,false
sandwich,Sandwich,🥪,,,Vegetable Cheese Sandwich,,100,false,,,false
sandwich,Sandwich,🥪,,,Cheese Sandwich,,90,false,,,false
sandwich,Sandwich,🥪,,,Club Sandwich,,150,false,,,false
sandwich,Sandwich,🥪,,,Vegetable Grilled Sandwich,,100,false,,,false
sandwich,Sandwich,🥪,,,Cheese Grilled Sandwich,,120,false,,,false
sandwich,Sandwich,🥪,,,Vegetable Cheese Grilled Sandwich,,130,false,,,false
sandwich,Sandwich,🥪,,,Club Grilled Sandwich,,200,false,,,true
chinese,Chinese,🍜,,Noodles & Fried Rice,Vegetable Noodle,,110,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Vegetable Paneer Noodle,,160,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Schezwan Noodle,,130,true,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Hakka Noodle,,170,false,,,true
chinese,Chinese,🍜,,Noodles & Fried Rice,Singaporean Noodle,,180,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Vegetable Fried Rice,,120,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Vegetable Paneer Fried Rice,,170,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Schezwan Fried Rice,,140,true,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Mushroom Fried Rice,,150,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Mushroom Paneer Fried Rice,,200,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Vegetable Fried Rice + Manchurian,,200,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Vegetable Manchurian (Dry),,150,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Vegetable Manchurian (Gravy),,170,false,,,false
chinese,Chinese,🍜,,Noodles & Fried Rice,Vegetable Spring Roll,,110,false,,,false
chinese,Chinese,🍜,,Starters & Sides,Chilli Paneer (Dry),,200,false,,,true
chinese,Chinese,🍜,,Starters & Sides,Chilli Paneer (Gravy),,220,false,,,false
chinese,Chinese,🍜,,Starters & Sides,Chilli Potato,,160,false,,,false
